Diet Type,Calories,Protein,Calcium,Fats,Breakfast,Lunch,Dinner
Non-Vegetarian,1546,109,1187,39,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,1390,158,669,48,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Vegetarian,2376,151,858,50,Paneer Paratha,Rajma Chawal,Matar Paneer
Non-Vegetarian,2737,153,424,57,Egg Bhurji,Prawn Masala,Grilled Chicken
Non-Vegetarian,2907,115,517,46,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2779,144,519,98,Vegetable Poha,Rajma Chawal,Palak Paneer with Roti
Vegetarian,3422,200,552,80,Idli Sambhar,Dal Rice,Dum Aloo
Non-Vegetarian,1823,56,1006,64,Egg Bhurji,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2779,124,709,30,Egg Bhurji,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,2725,198,507,54,Vegetable Poha,Rajma Chawal,Dum Aloo
Non-Vegetarian,3432,138,996,96,Egg Omelette,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2689,76,437,91,Paneer Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,3047,108,601,33,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Vegetarian,2431,151,564,94,Idli Sambhar,Vegetable Biryani,Dum Aloo
Vegetarian,2578,187,1093,24,Vegetable Poha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,2362,117,701,37,Chicken Sandwich,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1417,98,426,69,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,3125,192,569,63,Aloo Paratha,Rajma Chawal,Dum Aloo
Vegetarian,3299,135,905,80,Vegetable Poha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2746,95,600,36,Chicken Sandwich,Mutton Biryani,Tandoori Fish
Vegetarian,2439,180,1049,34,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2382,189,838,64,Paneer Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2991,191,1123,81,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,1687,149,1154,97,Paneer Paratha,Dal Rice,Dum Aloo
Vegetarian,3267,200,1131,43,Idli Sambhar,Rajma Chawal,Khichdi
Non-Vegetarian,1416,136,1146,86,Chicken Sausage,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2221,161,967,52,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,1373,62,561,77,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,2688,118,483,35,Scrambled Eggs,Egg Curry with Rice,Grilled Chicken
Vegetarian,2946,102,485,86,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Vegetarian,1518,154,512,56,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2725,100,404,77,Chicken Sausage,Prawn Masala,Butter Chicken
Non-Vegetarian,2398,121,569,59,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Vegetarian,1567,74,708,54,Aloo Paratha,Chole Bhature,Dum Aloo
Vegetarian,1220,137,1112,49,Oats with Fruits,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,2159,124,475,58,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,2446,84,844,46,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2142,171,466,77,Egg Bhurji,Mutton Biryani,Butter Chicken
Non-Vegetarian,2120,166,1073,94,Egg Bhurji,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2001,154,710,79,Vegetable Poha,Rajma Chawal,Khichdi
Vegetarian,1467,118,1082,86,Aloo Paratha,Dal Rice,Khichdi
Vegetarian,1265,181,1099,54,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,2024,188,902,39,Chicken Sausage,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,1397,95,760,95,Egg Omelette,Fish Fry with Roti,Butter Chicken
Vegetarian,3011,186,893,90,Vegetable Poha,Dal Rice,Dum Aloo
Non-Vegetarian,2299,69,946,79,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2704,132,612,60,Scrambled Eggs,Mutton Biryani,Butter Chicken
Vegetarian,2193,163,1056,92,Idli Sambhar,Rajma Chawal,Khichdi
Non-Vegetarian,2787,95,1061,99,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,2537,59,820,46,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,2360,172,1181,48,Idli Sambhar,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3217,199,1195,90,Paneer Paratha,Dal Rice,Khichdi
Non-Vegetarian,3458,77,757,56,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,2338,129,548,47,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,2033,62,1132,49,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,2827,61,914,100,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,3224,180,750,75,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,1271,173,594,92,Egg Bhurji,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,1988,80,1178,83,Chicken Sausage,Mutton Biryani,Chicken Tikka Masala
Vegetarian,1546,109,517,36,Aloo Paratha,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,2919,88,1030,77,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,1416,137,745,70,Oats with Fruits,Dal Rice,Dum Aloo
Non-Vegetarian,1842,86,854,100,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1519,140,912,56,Egg Bhurji,Prawn Masala,Grilled Chicken
Non-Vegetarian,2935,99,478,77,Egg Bhurji,Fish Fry with Roti,Grilled Chicken
Vegetarian,2075,87,955,57,Paneer Paratha,Dal Rice,Mixed Vegetable Curry
Vegetarian,3365,171,946,93,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Vegetarian,3472,155,1175,93,Aloo Paratha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,1653,104,457,91,Egg Omelette,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2286,97,446,67,Oats with Fruits,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,3201,157,646,86,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,1342,154,1113,76,Idli Sambhar,Rajma Chawal,Khichdi
Non-Vegetarian,3220,147,730,77,Chicken Sausage,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,1377,131,946,61,Scrambled Eggs,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,2569,149,572,87,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Vegetarian,1969,153,666,30,Idli Sambhar,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,1644,75,878,54,Chicken Sandwich,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,2759,144,421,48,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,1309,127,976,91,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Vegetarian,1464,185,471,30,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3432,79,544,52,Egg Omelette,Egg Curry with Rice,Butter Chicken
Vegetarian,1396,120,949,82,Aloo Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3287,52,501,91,Vegetable Poha,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,3095,148,828,65,Paneer Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,2767,171,1136,87,Egg Bhurji,Mutton Biryani,Grilled Chicken
Vegetarian,2120,141,877,81,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,2811,54,723,23,Vegetable Poha,Vegetable Biryani,Khichdi
Non-Vegetarian,2234,119,427,81,Egg Omelette,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,3265,118,557,90,Idli Sambhar,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,3104,132,838,57,Paneer Paratha,Dal Rice,Dum Aloo
Vegetarian,1459,118,469,90,Vegetable Poha,Chole Bhature,Palak Paneer with Roti
Vegetarian,1210,67,957,63,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Vegetarian,2483,140,732,61,Oats with Fruits,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,1730,110,1072,42,Egg Bhurji,Mutton Biryani,Grilled Chicken
Vegetarian,3167,141,1099,22,Aloo Paratha,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2165,57,1014,74,Egg Bhurji,Mutton Biryani,Grilled Chicken
Vegetarian,3232,79,935,96,Paneer Paratha,Rajma Chawal,Matar Paneer
Vegetarian,1587,183,537,35,Vegetable Poha,Rajma Chawal,Dum Aloo
Vegetarian,3367,50,691,89,Aloo Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,3254,177,956,49,Egg Omelette,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,3152,197,1060,48,Scrambled Eggs,Mutton Biryani,Tandoori Fish
Vegetarian,2837,138,1160,81,Oats with Fruits,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1469,100,1165,36,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2650,173,988,75,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2978,107,995,57,Chicken Sausage,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,3246,56,1083,83,Scrambled Eggs,Mutton Biryani,Grilled Chicken
Non-Vegetarian,3013,74,608,86,Egg Bhurji,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,3313,66,439,82,Scrambled Eggs,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,2767,112,1091,100,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Vegetarian,3112,159,1067,39,Idli Sambhar,Chole Bhature,Khichdi
Vegetarian,1219,103,1172,45,Paneer Paratha,Rajma Chawal,Khichdi
Non-Vegetarian,1652,155,780,24,Chicken Sausage,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1406,122,910,69,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2549,53,810,93,Egg Omelette,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2672,103,916,27,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,2157,180,807,94,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,1343,83,610,83,Idli Sambhar,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Non-Vegetarian,3336,191,423,40,Scrambled Eggs,Prawn Masala,Grilled Chicken
Non-Vegetarian,2200,125,989,83,Egg Bhurji,Mutton Biryani,Grilled Chicken
Non-Vegetarian,3170,68,1155,54,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2526,130,738,32,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2128,72,911,26,Scrambled Eggs,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,3176,88,1194,22,Egg Bhurji,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2750,50,594,77,Scrambled Eggs,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2655,140,652,65,Egg Omelette,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2059,78,1114,98,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Vegetarian,3304,110,518,27,Oats with Fruits,Rajma Chawal,Dum Aloo
Vegetarian,3061,167,1019,39,Oats with Fruits,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,2826,93,755,50,Egg Bhurji,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,3099,67,472,34,Egg Bhurji,Prawn Masala,Grilled Chicken
Vegetarian,3211,189,549,59,Oats with Fruits,Vegetable Biryani,Khichdi
Non-Vegetarian,2132,91,772,63,Chicken Sandwich,Prawn Masala,Chicken Tikka Masala
Vegetarian,2246,110,1091,94,Vegetable Poha,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,2353,68,474,83,Egg Bhurji,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,2220,109,509,87,Chicken Sandwich,Prawn Masala,Tandoori Fish
Vegetarian,3468,187,949,55,Idli Sambhar,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,3486,182,641,46,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,1531,66,843,78,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,3048,124,1146,97,Scrambled Eggs,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,1816,54,899,65,Egg Omelette,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,2198,124,1188,73,Scrambled Eggs,Fish Fry with Roti,Grilled Chicken
Vegetarian,3497,161,1061,70,Idli Sambhar,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2942,94,609,37,Chicken Sausage,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1643,51,740,31,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3245,135,524,39,Chicken Sandwich,Fish Fry with Roti,Tandoori Fish
Vegetarian,2021,191,506,35,Oats with Fruits,Chole Bhature,Khichdi
Non-Vegetarian,1358,162,880,78,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1594,93,853,48,Egg Omelette,Prawn Masala,Tandoori Fish
Non-Vegetarian,3494,138,677,66,Egg Omelette,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,1797,173,741,53,Chicken Sandwich,Prawn Masala,Tandoori Fish
Vegetarian,2871,57,850,41,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,3418,187,1148,40,Scrambled Eggs,Prawn Masala,Tandoori Fish
Vegetarian,2431,115,671,51,Oats with Fruits,Rajma Chawal,Khichdi
Vegetarian,1492,86,1040,33,Paneer Paratha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Vegetarian,3092,55,649,54,Paneer Paratha,Dal Rice,Khichdi
Vegetarian,2615,138,1172,41,Aloo Paratha,Chole Bhature,Dum Aloo
Vegetarian,1825,108,563,48,Oats with Fruits,Chole Bhature,Palak Paneer with Roti
Vegetarian,3296,182,453,62,Idli Sambhar,Dal Rice,Dum Aloo
Non-Vegetarian,1380,67,1101,97,Chicken Sandwich,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,3192,77,1118,45,Chicken Sausage,Egg Curry with Rice,Mutton Rogan Josh
Vegetarian,2846,162,1022,43,Aloo Paratha,Rajma Chawal,Dum Aloo
Vegetarian,3309,88,981,100,Aloo Paratha,Rajma Chawal,Khichdi
Vegetarian,1725,152,579,21,Aloo Paratha,Rajma Chawal,Matar Paneer
Vegetarian,2400,180,549,35,Vegetable Poha,Chole Bhature,Dum Aloo
Non-Vegetarian,2306,161,904,49,Chicken Sandwich,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,1313,52,909,40,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,2316,51,999,86,Aloo Paratha,Vegetable Biryani,Matar Paneer
Vegetarian,3015,73,741,55,Oats with Fruits,Rajma Chawal,Matar Paneer
Non-Vegetarian,2908,125,845,70,Chicken Sandwich,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,3199,160,564,64,Egg Omelette,Egg Curry with Rice,Mutton Rogan Josh
Non-Vegetarian,1241,191,914,26,Chicken Sandwich,Fish Fry with Roti,Mutton Rogan Josh
Non-Vegetarian,3162,64,1114,20,Egg Bhurji,Fish Fry with Roti,Grilled Chicken
Vegetarian,1349,118,449,32,Aloo Paratha,Dal Rice,Dum Aloo
Non-Vegetarian,3378,69,796,53,Scrambled Eggs,Chicken Curry with Rice,Tandoori Fish
Vegetarian,2726,138,947,24,Vegetable Poha,Vegetable Biryani,Dum Aloo
Vegetarian,1672,107,970,72,Aloo Paratha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,2841,96,883,65,Egg Omelette,Prawn Masala,Grilled Chicken
Non-Vegetarian,2625,91,567,21,Egg Bhurji,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,1934,132,894,100,Vegetable Poha,Chole Bhature,Khichdi
Vegetarian,1256,100,656,41,Idli Sambhar,Rajma Chawal,Palak Paneer with Roti
Non-Vegetarian,1464,97,663,23,Egg Bhurji,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2709,137,456,82,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Vegetarian,2912,168,803,31,Vegetable Poha,Dal Rice,Matar Paneer
Non-Vegetarian,2360,84,950,27,Chicken Sausage,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,3072,103,944,71,Egg Omelette,Mutton Biryani,Grilled Chicken
Vegetarian,1819,130,945,83,Aloo Paratha,Dal Rice,Matar Paneer
Non-Vegetarian,1563,177,581,89,Chicken Sandwich,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,1819,89,883,32,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,2481,71,808,95,Egg Bhurji,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2463,200,781,80,Vegetable Poha,Chole Bhature,Matar Paneer
Vegetarian,1656,80,758,92,Vegetable Poha,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,3466,68,979,24,Chicken Sausage,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,2177,193,863,87,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Vegetarian,1611,184,806,79,Idli Sambhar,Vegetable Biryani,Khichdi
Non-Vegetarian,2484,195,715,25,Chicken Sandwich,Mutton Biryani,Tandoori Fish
Non-Vegetarian,3038,166,901,96,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Vegetarian,1372,71,1033,34,Paneer Paratha,Vegetable Biryani,Dum Aloo
Vegetarian,1894,135,433,36,Idli Sambhar,Vegetable Biryani,Matar Paneer
Vegetarian,3002,53,851,55,Aloo Paratha,Rajma Chawal,Dum Aloo
Vegetarian,1624,138,425,40,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Vegetarian,1657,133,956,66,Aloo Paratha,Vegetable Biryani,Khichdi
Vegetarian,1979,116,1075,64,Idli Sambhar,Rajma Chawal,Khichdi
Non-Vegetarian,3102,131,446,67,Chicken Sandwich,Egg Curry with Rice,Butter Chicken
Non-Vegetarian,3471,197,869,22,Egg Omelette,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,1710,188,929,81,Egg Bhurji,Fish Fry with Roti,Grilled Chicken
Non-Vegetarian,1483,107,469,74,Scrambled Eggs,Prawn Masala,Butter Chicken
Non-Vegetarian,1566,167,565,64,Egg Bhurji,Egg Curry with Rice,Grilled Chicken
Vegetarian,2316,73,833,44,Paneer Paratha,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,2353,78,440,90,Chicken Sausage,Prawn Masala,Tandoori Fish
Non-Vegetarian,2704,169,860,71,Egg Omelette,Fish Fry with Roti,Grilled Chicken
Vegetarian,2385,77,1185,54,Paneer Paratha,Vegetable Biryani,Matar Paneer
Vegetarian,3268,125,1157,34,Paneer Paratha,Rajma Chawal,Matar Paneer
Vegetarian,2711,158,1164,47,Vegetable Poha,Paneer Butter Masala with Roti,Dum Aloo
Non-Vegetarian,3251,103,1026,60,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,2239,55,871,21,Vegetable Poha,Rajma Chawal,Mixed Vegetable Curry
Vegetarian,3428,125,1074,51,Oats with Fruits,Paneer Butter Masala with Roti,Khichdi
Vegetarian,2375,193,681,47,Oats with Fruits,Chole Bhature,Dum Aloo
Non-Vegetarian,1449,110,934,69,Chicken Sausage,Egg Curry with Rice,Grilled Chicken
Vegetarian,2432,103,639,38,Aloo Paratha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,2708,128,578,83,Chicken Sausage,Prawn Masala,Tandoori Fish
Vegetarian,2261,142,1076,51,Oats with Fruits,Dal Rice,Matar Paneer
Non-Vegetarian,2742,51,464,88,Egg Omelette,Prawn Masala,Grilled Chicken
Vegetarian,1565,82,663,99,Aloo Paratha,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,1253,69,568,29,Chicken Sandwich,Chicken Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,3111,151,925,25,Chicken Sausage,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,2948,144,438,63,Chicken Sausage,Prawn Masala,Grilled Chicken
Vegetarian,2803,150,915,77,Vegetable Poha,Chole Bhature,Mixed Vegetable Curry
Non-Vegetarian,3071,120,1034,42,Chicken Sausage,Chicken Curry with Rice,Grilled Chicken
Vegetarian,2668,86,673,51,Idli Sambhar,Chole Bhature,Dum Aloo
Non-Vegetarian,1960,183,788,56,Chicken Sandwich,Chicken Curry with Rice,Tandoori Fish
Vegetarian,3342,62,462,94,Aloo Paratha,Vegetable Biryani,Mixed Vegetable Curry
Non-Vegetarian,3079,66,879,93,Chicken Sandwich,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,3459,79,924,33,Egg Bhurji,Prawn Masala,Tandoori Fish
Vegetarian,2397,86,946,55,Paneer Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,2658,128,1009,96,Egg Bhurji,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,2665,129,435,24,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,3056,144,1055,60,Scrambled Eggs,Fish Fry with Roti,Chicken Tikka Masala
Non-Vegetarian,2132,139,559,94,Egg Omelette,Chicken Curry with Rice,Grilled Chicken
Non-Vegetarian,3212,84,1119,91,Chicken Sandwich,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2472,168,1152,48,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Vegetarian,2069,160,482,42,Oats with Fruits,Vegetable Biryani,Palak Paneer with Roti
Non-Vegetarian,3189,124,1142,48,Scrambled Eggs,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,3014,120,636,31,Paneer Paratha,Dal Rice,Dum Aloo
Vegetarian,2012,127,1112,65,Oats with Fruits,Dal Rice,Mixed Vegetable Curry
Vegetarian,1916,169,961,85,Paneer Paratha,Chole Bhature,Matar Paneer
Non-Vegetarian,3104,199,646,84,Egg Omelette,Prawn Masala,Mutton Rogan Josh
Non-Vegetarian,1672,53,548,58,Chicken Sandwich,Egg Curry with Rice,Chicken Tikka Masala
Vegetarian,2683,114,441,87,Paneer Paratha,Vegetable Biryani,Matar Paneer
Vegetarian,2324,167,1019,58,Oats with Fruits,Vegetable Biryani,Palak Paneer with Roti
Vegetarian,2314,138,749,79,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,2799,191,953,24,Chicken Sausage,Mutton Biryani,Tandoori Fish
Non-Vegetarian,2612,164,944,28,Egg Omelette,Mutton Biryani,Mutton Rogan Josh
Non-Vegetarian,1856,128,1064,57,Egg Bhurji,Egg Curry with Rice,Chicken Tikka Masala
Non-Vegetarian,2638,194,840,47,Egg Bhurji,Fish Fry with Roti,Chicken Tikka Masala
Vegetarian,1585,50,732,45,Paneer Paratha,Chole Bhature,Khichdi
Non-Vegetarian,2119,84,918,94,Egg Bhurji,Egg Curry with Rice,Grilled Chicken
Vegetarian,2662,174,654,63,Vegetable Poha,Vegetable Biryani,Matar Paneer
Non-Vegetarian,2461,100,1183,73,Chicken Sandwich,Fish Fry with Roti,Mutton Rogan Josh
Vegetarian,2014,98,862,81,Paneer Paratha,Chole Bhature,Palak Paneer with Roti
Non-Vegetarian,3254,74,1003,79,Egg Bhurji,Chicken Curry with Rice,Chicken Tikka Masala
Vegetarian,3329,111,1107,28,Oats with Fruits,Chole Bhature,Dum Aloo
Vegetarian,2202,104,908,49,Oats with Fruits,Paneer Butter Masala with Roti,Mixed Vegetable Curry
Vegetarian,3006,141,643,43,Idli Sambhar,Paneer Butter Masala with Roti,Khichdi
Vegetarian,3433,120,1159,69,Aloo Paratha,Chole Bhature,Matar Paneer
Vegetarian,1484,98,1150,50,Oats with Fruits,Dal Rice,Dum Aloo
Non-Vegetarian,2452,131,641,75,Scrambled Eggs,Fish Fry with Roti,Tandoori Fish
Non-Vegetarian,3479,91,1037,24,Egg Omelette,Fish Fry with Roti,Butter Chicken
Non-Vegetarian,1859,134,1102,60,Chicken Sandwich,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,2648,126,1166,24,Chicken Sandwich,Prawn Masala,Butter Chicken
Vegetarian,1883,80,521,32,Vegetable Poha,Paneer Butter Masala with Roti,Matar Paneer
Vegetarian,3025,150,879,62,Aloo Paratha,Rajma Chawal,Dum Aloo
Vegetarian,2092,149,849,45,Vegetable Poha,Chole Bhature,Dum Aloo
Vegetarian,2676,165,549,76,Oats with Fruits,Paneer Butter Masala with Roti,Matar Paneer
Non-Vegetarian,2274,138,809,23,Egg Bhurji,Mutton Biryani,Butter Chicken
Non-Vegetarian,2344,97,909,23,Chicken Sandwich,Egg Curry with Rice,Tandoori Fish
Non-Vegetarian,2881,148,1101,98,Egg Bhurji,Prawn Masala,Butter Chicken
Vegetarian,1752,145,1014,20,Idli Sambhar,Chole Bhature,Matar Paneer
Non-Vegetarian,2918,133,830,57,Egg Omelette,Prawn Masala,Grilled Chicken
Vegetarian,2557,81,948,72,Oats with Fruits,Vegetable Biryani,Dum Aloo
Non-Vegetarian,2418,143,401,34,Egg Omelette,Mutton Biryani,Tandoori Fish
Vegetarian,2940,161,524,82,Aloo Paratha,Chole Bhature,Dum Aloo
Non-Vegetarian,1425,80,1051,22,Chicken Sandwich,Chicken Curry with Rice,Mutton Rogan Josh
Vegetarian,2980,60,1174,66,Oats with Fruits,Paneer Butter Masala with Roti,Dum Aloo
Vegetarian,2123,103,987,37,Idli Sambhar,Dal Rice,Mixed Vegetable Curry
Non-Vegetarian,2934,50,784,88,Scrambled Eggs,Prawn Masala,Chicken Tikka Masala
Non-Vegetarian,1962,149,488,20,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Vegetarian,2403,78,469,50,Oats with Fruits,Rajma Chawal,Mixed Vegetable Curry
Non-Vegetarian,1697,186,1087,42,Egg Omelette,Mutton Biryani,Grilled Chicken
Vegetarian,1802,114,924,56,Idli Sambhar,Paneer Butter Masala with Roti,Palak Paneer with Roti
Non-Vegetarian,1353,113,899,81,Egg Omelette,Chicken Curry with Rice,Butter Chicken
Non-Vegetarian,1463,174,493,31,Chicken Sandwich,Prawn Masala,Mutton Rogan Josh
Vegetarian,2868,85,989,22,Idli Sambhar,Dal Rice,Palak Paneer with Roti
Non-Vegetarian,2336,119,430,96,Egg Bhurji,Chicken Curry with Rice,Tandoori Fish
Non-Vegetarian,2484,180,705,33,Scrambled Eggs,Mutton Biryani,Chicken Tikka Masala
Non-Vegetarian,1944,199,457,76,Egg Bhurji,Egg Curry with Rice,Grilled Chicken
Non-Vegetarian,2244,63,540,77,Egg Omelette,Chicken Curry with Rice,Tandoori Fish
Vegetarian,3003,191,508,22,Paneer Paratha,Rajma Chawal,Khichdi
Vegetarian,1526,196,1191,80,Vegetable Poha,Dal Rice,Matar Paneer
Vegetarian,2943,182,486,52,Idli Sambhar,Chole Bhature,Palak Paneer with Roti
